City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Aguimes,ES,74.03,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
100,Tuktoyaktuk,CA,68.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
102,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,Le four à pain
103,Saint John,CA,78.03,few clouds,45.2727,-66.0677,Delta Hotels by Marriott Saint John
104,Deloraine,AU,50.36,overcast clouds,-41.5333,146.6667,Mountain View Country Inn
105,Husavik,IS,51.46,broken clouds,66.0449,-17.3389,Bjarnabúð
106,Butaritari,KI,80.98,light rain,3.0707,172.7902,Isles Sunset Lodge
107,Inuvik,CA,74.41,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
109,Ekhabi,RU,51.93,overcast clouds,53.5102,142.9671,
110,Grindavik,IS,55.87,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
111,Loreto,MX,78.98,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
113,College,US,54.46,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
114,Tual,ID,77.58,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
115,Mikhaylovskoye,RU,64.24,clear sky,51.8239,79.7172,"Terem"""
116,Barra Da Estiva,BR,72.07,clear sky,-13.6261,-41.3269,Pousada Central
118,Basmat,IN,74.57,moderate rain,19.3167,77.1667,Lakshmi-Narayan
119,Lorengau,PG,81.43,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
121,Aquiraz,BR,85.44,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
122,Floro,NO,66.27,few clouds,61.5996,5.0328,Kinn Hotell Florø
123,Mount Gambier,AU,51.08,light rain,-37.8333,140.7667,The Commodore
124,Ngunguru,NZ,55.26,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
126,Almaznyy,RU,60.57,light rain,48.0448,40.045,
128,Tutoia,BR,82.29,scattered clouds,-2.7619,-42.2744,Pousada Guará's
129,Kalmunai,LK,79.07,overcast clouds,7.4167,81.8167,VS Villa
130,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
131,Saint-Francois,FR,81.84,clear sky,46.4154,3.9054,Manoir Du Bonheur
132,Ciechocinek,PL,77.56,clear sky,52.8791,18.7951,Pałac Łazienki II
133,Kapit,MY,73.33,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
134,Havoysund,NO,53.83,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
135,Dikson,RU,53.02,overcast clouds,73.5069,80.5464,
137,Kavaratti,IN,81.28,overcast clouds,10.5669,72.642,Green leaf
138,Carcaliu,RO,79.39,clear sky,45.1833,28.15,
139,Tautira,PF,75.4,light rain,-17.7333,-149.15,Pension Oaoa
140,Rocha,UY,63.28,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
141,Severo-Kurilsk,RU,54.37,few clouds,50.6789,156.125,Kak Doma
142,Hinatuan,PH,76.14,overcast clouds,8.3722,126.3342,Villa Juanita Hinatuan
143,Sistranda,NO,55.36,few clouds,63.7256,8.834,Hotell Frøya
144,Ust-Ishim,RU,53.96,overcast clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
145,Oksfjord,NO,55.47,light rain,70.2396,22.3479,
146,Xining,CN,52.07,clear sky,36.6167,101.7667,Super Leisure Hotel
147,Samarai,PG,79.92,scattered clouds,-10.6167,150.6667,Nuli Sapi
148,Kabelvag,NO,53.53,broken clouds,68.2114,14.4817,Nyvågar Rorbuhotel
149,Marsh Harbour,BS,84.15,clear sky,26.5412,-77.0636,Abaco Beach Resort
150,Faanui,PF,77.9,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
151,Kenai,US,55.15,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
152,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
153,Gustrow,DE,66.52,broken clouds,53.7972,12.1734,Kurhaus am Inselsee
154,Port Hedland,AU,66.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
155,Norman Wells,CA,68.04,broken clouds,65.282,-126.8329,Heritage Hotel
156,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
157,Khandyga,RU,63.86,overcast clouds,62.6667,135.6,Apel'sin
158,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
160,Ayan,RU,57.72,broken clouds,56.45,138.1667,Gostinitsa
161,Geraldton,AU,52.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
162,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
163,Verkhoyansk,RU,62.94,light rain,67.5447,133.385,
164,Karratha,AU,69.6,clear sky,-20.7377,116.8463,ibis Styles Karratha
165,Beira,MZ,71.69,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
166,Hobyo,SO,76.3,few clouds,5.3505,48.5268,Iftin hotel hobyo
167,Yumen,CN,76.39,clear sky,40.2833,97.2,
169,Namatanai,PG,78.12,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
170,Panzhihua,CN,71.01,overcast clouds,26.5851,101.7128,Electric Power Hotel
171,Hobart,AU,50.25,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
172,Shingu,JP,72.91,clear sky,33.7333,135.9833,Shingu UI Hotel
173,Kigoma,TZ,74.59,clear sky,-4.8769,29.6267,MJI Mwema Lodge
174,Flinders,AU,51.19,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
175,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
176,Lompoc,US,78.94,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
177,Esperance,AU,54.28,overcast clouds,-33.8667,121.9,Hospitality Esperance
178,Alofi,NU,64.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
179,Lima,PE,70.9,overcast clouds,-12.0432,-77.0282,Hotel Kamana
180,Kamenka,RU,58.87,overcast clouds,51.3223,42.7678,
181,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
182,Madarounfa,NE,89.58,overcast clouds,13.3087,7.156,Madarounfa centre ville
183,Ulladulla,AU,51.12,broken clouds,-35.35,150.4667,Sandpiper Motel
184,Richards Bay,ZA,67.44,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
185,Mabaruma,GY,87.8,broken clouds,8.2,-59.7833,Monty Brooms Guest House
187,Seoul,KR,74.64,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
188,Kenora,CA,76.17,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
189,Acajutla,SV,83.95,overcast clouds,13.5928,-89.8275,Laureles
190,Mae Sai,TH,72.23,light rain,20.4335,99.8762,Piyaporn Hill Paradise Hotel
191,Yangzhou,CN,78.37,overcast clouds,32.3972,119.4358,中集·格兰云天大酒店
192,Guerrero Negro,MX,75.78,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
193,Goderich,CA,77.32,clear sky,43.7501,-81.7165,Harmony Inn
194,Tianpeng,CN,68.47,clear sky,30.9866,103.9393,Shuangliu Love Home Business Hotel
195,Kazerun,IR,88.23,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
196,Narsaq,GL,55.45,scattered clouds,60.9167,-46.05,Sleep In Narsaq
197,Nara,JP,76.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
198,Gambela,ET,71.53,moderate rain,8.25,34.5833,Solomon Debebe Hotel
199,Santiago De Cao,PE,64.53,fog,-7.9589,-79.2392,Casa de la tía
200,Calamar,CO,87.78,overcast clouds,10.2511,-74.9146,Hostal Katyalex
201,Kloulklubed,PW,82.15,broken clouds,7.0419,134.2556,Storyboard Beach Resort
202,Kilindoni,TZ,75.45,clear sky,-7.9139,39.6668,Bustani B&B
203,Dondo,MZ,71.11,clear sky,-19.6094,34.7431,Pensao Casual
204,Emerald,AU,52.34,clear sky,-23.5333,148.1667,The Irish Village
205,Westerland,DE,59.02,broken clouds,54.9079,8.3033,Dorint Strandresort & Spa Westerland / Sylt
206,Dalvik,IS,51.73,broken clouds,65.9702,-18.5286,Dalvík Hostel
207,Swan Hill,AU,52.03,moderate rain,-35.3378,143.5544,Lazy River Motor Inn
208,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
209,Saint-Michel-Des-Saints,CA,79.93,scattered clouds,46.6834,-73.9159,Motel Du Mont trinity
210,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
211,Pacific Grove,US,77.38,scattered clouds,36.6177,-121.9166,Lovers Point Inn
212,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
213,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
214,Bemidji,US,85.05,scattered clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
216,Qadirpur Ran,PK,80.49,overcast clouds,30.2924,71.6712,Govt Guest House
218,Tezpur,IN,79.75,overcast clouds,26.6333,92.8,Hotel Kanyapur
219,Kidderminster,GB,67.23,broken clouds,52.3882,-2.25,Gainsborough House Hotel
220,Chuy,UY,58.42,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
223,Mwanza,TZ,69.85,clear sky,-2.5167,32.9,Gold Crest Hotel
